,Id,House Age,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Gr Liv Area,Full Bath,Half Bath,Total Bsmt SF,Garage Cars,Garage Area,Fireplaces,TotRms AbvGrd,Kitchen Qual,SalePrice
0,109,34,13517,6,1976,2005,289.0,4,3,1479,2,1,725,2,475,0,6,4,130500
1,544,13,11492,7,1996,1997,132.0,4,4,2122,2,1,913,2,559,1,8,4,220000
2,153,57,7922,5,1953,2007,0.0,3,3,1057,1,0,1057,1,246,0,5,4,109000
3,318,4,9802,5,2006,2007,0.0,3,4,1444,2,1,384,2,400,0,7,3,174000
4,255,110,14235,6,1900,1993,0.0,3,2,1445,2,0,676,2,484,0,6,3,138500
5,138,44,16492,6,1966,2002,0.0,4,3,1888,2,1,1517,2,578,1,6,4,190000
6,2827,1,3675,6,2005,2006,82.0,3,4,1072,2,0,547,2,525,0,5,3,140000
7,145,51,12160,5,1959,1959,180.0,3,3,1188,1,0,1188,2,531,0,6,3,142000
8,1942,55,15783,5,1952,1952,0.0,3,3,924,1,0,924,1,420,0,6,3,112500
9,1956,38,11606,5,1969,1969,192.0,3,4,2080,1,2,1040,2,504,2,9,2,135000
10,1044,37,1680,6,1971,1971,232.0,3,3,987,1,1,483,1,264,0,4,3,85400
11,2752,1,7488,7,2005,2005,0.0,4,4,1208,2,0,1208,2,632,0,6,4,183600
12,807,129,26400,5,1880,2007,0.0,4,0,2016,1,0,0,2,576,1,7,3,131000
13,1177,9,2645,8,1999,2000,456.0,4,4,1607,2,1,960,2,480,0,7,4,200000
14,1480,1,9627,7,2007,2007,0.0,4,4,1361,2,0,1351,2,610,0,6,4,193000
15,324,6,10114,5,2004,2005,0.0,3,5,1430,2,0,1430,2,624,0,7,4,173500
16,1311,92,4571,5,1916,1950,0.0,3,3,1344,1,0,624,3,513,0,7,3,98000
17,770,46,8816,5,1963,1963,0.0,3,3,1121,1,0,1121,2,480,0,5,3,139000
18,2063,30,8197,6,1977,1977,148.0,3,3,1285,1,1,660,2,528,1,7,3,143500
19,69,1,8640,7,2009,2009,0.0,3,4,1547,2,1,756,2,614,0,7,4,215200
20,2062,39,8724,5,1968,1968,0.0,3,4,894,1,0,894,2,450,1,5,3,129000
21,351,9,5664,8,2000,2000,0.0,4,4,1659,2,0,1501,2,499,1,5,5,278000
22,2393,1,12867,8,2005,2006,0.0,4,5,2253,2,1,1209,2,575,1,8,5,344133
23,12,18,7980,6,1992,2007,0.0,3,4,1187,2,0,1168,2,420,0,6,3,185000
24,2339,51,34650,5,1955,1955,0.0,3,3,1056,1,0,1056,2,572,0,5,3,145000
25,624,48,10573,6,1961,1961,3.0,3,3,1453,2,0,1453,2,530,1,6,3,187500
26,86,45,8450,5,1965,2009,0.0,3,3,894,1,0,894,1,336,1,5,3,138500
27,1534,71,11700,5,1937,1995,0.0,3,3,1938,2,0,942,1,240,1,7,4,198000
28,2243,112,8250,5,1895,2006,0.0,3,3,1991,2,0,957,0,0,0,9,3,119600
29,1957,58,8064,5,1949,2006,0.0,3,3,924,1,0,672,2,576,1,6,3,122900
30,380,28,9600,8,1981,1981,0.0,4,4,2524,2,1,2524,2,542,1,9,4,278000
31,2860,77,11435,8,1929,1950,0.0,3,4,1517,1,0,792,2,400,2,7,4,230000
32,2517,11,9549,8,1995,1996,0.0,4,4,1494,1,1,1494,2,481,1,6,5,270000
33,1933,55,10950,6,1952,1952,0.0,3,3,948,1,0,948,2,410,0,5,3,125000
34,820,2,10637,8,2007,2008,336.0,4,5,1718,2,0,1705,3,826,1,7,4,297000
35,675,51,9000,6,1958,1958,82.0,3,4,1142,1,0,160,1,384,1,5,3,113500
36,2910,29,2665,5,1977,1977,0.0,3,3,1475,2,0,757,1,336,1,6,3,127000
37,21,33,11751,6,1977,1977,480.0,3,4,1844,2,0,1844,2,546,1,7,3,190000
38,1873,34,9600,7,1973,1973,320.0,3,3,1242,1,1,1242,2,528,1,6,3,175500
39,2125,13,8428,5,1994,1994,0.0,3,4,990,1,0,990,1,384,0,5,3,146000
40,1489,43,9937,5,1965,1965,0.0,4,3,1256,1,1,1256,1,276,0,6,3,147500
41,2383,0,13891,10,2006,2006,0.0,5,5,2076,2,1,2076,3,850,1,7,5,465000
42,983,31,9101,5,1978,1978,104.0,3,4,1110,1,0,1097,2,602,1,4,4,165500
43,1325,54,12150,5,1954,1954,335.0,3,3,1795,2,0,1050,1,352,0,7,3,131500
44,1378,43,11200,5,1965,1965,0.0,3,3,1040,1,0,1040,1,384,0,5,3,129500
45,1537,73,9670,8,1935,1950,40.0,3,3,1873,1,1,608,2,786,2,9,3,257076
46,905,68,10998,5,1941,1960,0.0,3,3,1604,2,0,984,2,660,0,6,3,117000
47,1532,77,7200,7,1931,2000,0.0,3,4,1502,1,1,776,1,270,1,6,3,149000
48,132,56,9920,5,1954,1954,110.0,3,3,1063,1,0,1056,1,280,0,6,3,128000
49,1078,5,2448,7,2003,2004,106.0,4,4,1626,2,1,764,2,474,0,6,4,155000
50,2511,6,2998,6,2000,2000,513.0,4,4,1524,2,1,756,2,440,0,4,4,166000
51,912,81,7804,4,1928,1950,0.0,3,3,1981,2,0,1122,2,576,2,7,4,135000
52,2351,28,16692,7,1978,1978,184.0,3,4,2784,3,1,1392,2,564,2,12,4,250000
53,330,40,1476,4,1970,1970,0.0,3,3,1092,1,1,546,0,0,0,5,3,76000
54,2586,55,10170,6,1951,1951,522.0,3,3,1575,1,1,216,2,400,1,5,4,155000
55,224,41,9364,6,1969,1969,143.0,3,3,1352,1,1,663,1,299,0,7,3,158000
56,98,6,2544,7,2004,2005,0.0,4,4,1200,2,1,600,2,480,0,4,4,149500
57,2565,52,9888,5,1954,1975,0.0,3,3,936,1,0,936,1,240,0,5,3,121000
58,1934,54,7942,6,1953,1953,0.0,3,3,1040,1,0,1040,1,293,0,6,3,136000
59,997,12,15038,6,1996,1996,0.0,3,4,1636,2,1,916,2,386,1,7,3,173000
